1:0:1:4E5A:C86:3:EB0000:0:0:0:	AMC
1:0:1:76CF:40E:1:C00000:0:0:0:	AMC
1:0:16:36FB:C8C:3:EB0000:0:0:0:	AMC
1:0:19:7533:426:1:C00000:0:0:0:	AMC HD
1:0:1:4E9A:CA4:3:EB0000:0:0:0:	Animal Planet
1:0:16:13B0:C95:3:EB0000:0:0:0:	Animal Planet
1:0:16:13CB:C95:3:EB0000:0:0:0:	Animal Planet CZ
1:0:19:427E:446:1:C00000:0:0:0:	ANIMAUX
1:0:19:526C:41D:1:C00000:0:0:0:	ANIXE HD
1:0:1:2FC:5:85:C00000:0:0:0:	ANIXE SD
1:0:1:7604:408:1:C00000:0:0:0:	ANTENA 3
1:0:19:7534:426:1:C00000:0:0:0:	ANTENA 3 HD
1:0:1:75FD:408:1:C00000:0:0:0:	ARAGON TV INT
1:0:1:6F47:445:1:C00000:0:0:0:	ARD-alpha
1:0:1:6E3D:431:1:C00000:0:0:0:	ARD-TEST-1
1:0:16:13B2:C95:3:EB0000:0:0:0:	Arena Sport
1:0:19:4E34:C85:3:EB0000:0:0:0:	Arena Sport 1 HD
1:0:1:4EE8:C86:3:EB0000:0:0:0:	Arena Sport 1 HD BIH
1:0:1:4EE9:C86:3:EB0000:0:0:0:	Arena Sport 1 HD CG
1:0:19:4E35:C85:3:EB0000:0:0:0:	Arena Sport 2 HD
1:0:19:4E36:C85:3:EB0000:0:0:0:	Arena Sport 3 HD
1:0:19:4E37:C85:3:EB0000:0:0:0:	Arena Sport 4 HD
1:0:19:4E38:C85:3:EB0000:0:0:0:	Arena Sport 5 HD
1:0:1:4E39:C8B:3:EB0000:0:0:0:	Arena Sport HD
1:0:1:1B63:3FC:1:C00000:0:0:0:	Arirang TV
1:0:16:33FF:3ED:1:C00000:0:0:0:	Aristo.TV
1:0:1:7034:41B:1:C00000:0:0:0:	arte
1:0:19:2081:432:1:C00000:0:0:0:	ARTE
1:0:19:283E:3FB:1:C00000:0:0:0:	arte HD
1:0:19:219D:448:1:C00000:0:0:0:	ASSOCIATION MATERIEL
1:0:1F:150E:C84:3:EB0000:0:0:0:	Astra UHD Demo
1:0:1:295:21:85:C00000:0:0:0:	AstroTV
1:0:1:4E8F:C86:3:EB0000:0:0:0:	ATV
1:0:1:32D4:45D:1:C00000:0:0:0:	ATV
1:0:19:33AC:3EB:1:C00000:0:0:0:	ATV HD
1:0:1:33A7:3EB:1:C00000:0:0:0:	ATV2
1:0:19:427C:446:1:C00000:0:0:0:	AUTOMOTO la chaine
1:0:19:17D7:C91:3:EB0000:0:0:0:	AutoMotorSport HD
1:0:1:4E5B:C86:3:EB0000:0:0:0:	AXN
1:0:1:7477:3F0:1:C00000:0:0:0:	AXN
1:0:16:315:C94:3:EB0000:0:0:0:	AXN CZ
1:0:16:101D:451:35:C00000:0:0:0:	AXN Deutschland
1:0:19:7856:41A:1:C00000:0:0:0:	AXN HD
1:0:1:4E5C:C86:3:EB0000:0:0:0:	AXN Spin
1:0:1:7471:3F0:1:C00000:0:0:0:	AXN WHITE
1:0:19:74DB:3F8:1:C00000:0:0:0:	AXN WHITE HD
1:0:16:11DD:406:1:C00000:0:0:0:	B4U Movies UK
1:0:16:11DE:406:1:C00000:0:0:0:	B4U Music UK
1:0:1:315B:459:1:C00000:0:0:0:	Babestation24
1:0:1:749C:41C:1:C00000:0:0:0:	BABY TV
1:0:19:19DE:444:1:C00000:0:0:0:	BABY TV
1:0:16:4C:21:85:C00000:0:0:0:	Baden TV
1:0:1:759E:422:1:C00000:0:0:0:	BAJO DEMANDA
1:0:1:4ED6:CA4:3:EB0000:0:0:0:	Balkan Hot
1:0:1:4ED7:CA4:3:EB0000:0:0:0:	Balkan Hot 2
1:0:19:220C:44C:1:C00000:0:0:0:	BANDE ANNONCE
1:0:1:245F:440:1:C00000:0:0:0:	BARKER COLLECTIVITES SD4
1:0:19:132D:CA2:3:EB0000:0:0:0:	Barrandov Plus HD
1:0:1:74A0:41C:1:C00000:0:0:0:	BARÇA TV
1:0:1:46:7:85:C00000:0:0:0:	BB-Lokal-TV
1:0:1:16AE:3FF:1:C00000:0:0:0:	BB-MV-LokalTV
1:0:1:4E99:CA4:3:EB0000:0:0:0:	BBC Earth
1:0:1:1389:3EA:1:C00000:0:0:0:	BBC World News Europe HD
1:0:1:7600:408:1:C00000:0:0:0:	BE MAD
1:0:19:13C5:C95:3:EB0000:0:0:0:	Be2Can HD
1:0:19:85:3:85:C00000:0:0:0:	Beate-Uhse.TV HD
1:0:1:7797:424:1:C00000:0:0:0:	BEIN LALIGA
1:0:19:750F:420:1:C00000:0:0:0:	BEIN LALIGA
1:0:19:2462:440:1:C00000:0:0:0:	BEIN SPORTS 1
1:0:19:2012:430:1:C00000:0:0:0:	BEIN SPORTS 2
1:0:19:2013:430:1:C00000:0:0:0:	BEIN SPORTS 3
1:0:19:2074:432:1:C00000:0:0:0:	BEIN SPORTS MAX 10
1:0:19:2009:430:1:C00000:0:0:0:	BEIN SPORTS MAX 4
1:0:19:200A:430:1:C00000:0:0:0:	BEIN SPORTS MAX 5
1:0:19:200B:430:1:C00000:0:0:0:	BEIN SPORTS MAX 6
1:0:19:2071:432:1:C00000:0:0:0:	BEIN SPORTS MAX 7
1:0:19:2072:432:1:C00000:0:0:0:	BEIN SPORTS MAX 8
1:0:19:2073:432:1:C00000:0:0:0:	BEIN SPORTS MAX 9
1:0:1:756B:412:1:C00000:0:0:0:	BEINLALIGA1
1:0:19:74FF:420:1:C00000:0:0:0:	BEINLALIGA1
1:0:1:7580:412:1:C00000:0:0:0:	BEINLALIGA2
1:0:19:7855:41A:1:C00000:0:0:0:	BEINLALIGA2
1:0:1:7581:412:1:C00000:0:0:0:	BEINLALIGA3
1:0:1:769B:41E:1:C00000:0:0:0:	BEINLALIGA4
1:0:1:7579:412:1:C00000:0:0:0:	BEINLALIGA5
1:0:1:757E:412:1:C00000:0:0:0:	BEINLALIGA6
1:0:1:756E:412:1:C00000:0:0:0:	BEINLALIGA7
1:0:1:7690:41E:1:C00000:0:0:0:	BEINLALIGA8
1:0:19:1F41:42E:1:C00000:0:0:0:	BET
1:0:19:206F:432:1:C00000:0:0:0:	BFM BUSINESS
1:0:19:206D:432:1:C00000:0:0:0:	BFM TV
1:0:1:4E90:C86:3:EB0000:0:0:0:	BHTV
1:0:1:2F5A:454:1:C00000:0:0:0:	Bibel TV
1:0:19:33A8:3EB:1:C00000:0:0:0:	Bibel TV HD
1:0:1:772D:416:1:C00000:0:0:0:	BLAZE
1:0:1:2753:402:1:C00000:0:0:0:	Bloomberg Europe TV
1:0:16:201:B:85:C00000:0:0:0:	Blue Movie
1:0:D3:159:B:85:C00000:0:0:0:	Blue Movie 1
1:0:D3:163:B:85:C00000:0:0:0:	Blue Movie 2
1:0:D3:16D:B:85:C00000:0:0:0:	Blue Movie 3
1:0:1:4E87:C86:3:EB0000:0:0:0:	BN
1:0:1:4EBA:CA4:3:EB0000:0:0:0:	BN Music
1:0:1:4E88:C86:3:EB0000:0:0:0:	BNTV
1:0:1:749E:41C:1:C00000:0:0:0:	BOING
1:0:19:232D:442:1:C00000:0:0:0:	BOING
1:0:1:4E44:C85:3:EB0000:0:0:0:	Boomerang
1:0:16:193:B:85:C00000:0:0:0:	Boomerang
1:0:16:1793:C82:3:EB0000:0:0:0:	Boomerang
1:0:19:2333:442:1:C00000:0:0:0:	BOOMERANG
1:0:16:1794:C82:3:EB0000:0:0:0:	Boomerang CZ
1:0:1:6DCE:44D:1:C00000:0:0:0:	BR Fernsehen Nord
1:0:19:2856:401:1:C00000:0:0:0:	BR Fernsehen Nord HD
1:0:1:6DCB:44D:1:C00000:0:0:0:	BR Fernsehen Süd
1:0:19:2855:401:1:C00000:0:0:0:	BR Fernsehen Süd HD
1:0:19:19D5:444:1:C00000:0:0:0:	BRAVA
1:0:1:4ED5:CA4:3:EB0000:0:0:0:	Brazzers TV
1:0:16:1009:451:35:C00000:0:0:0:	Brazzers TV
1:0:16:1031:451:35:C00000:0:0:0:	Brazzers TV CZ
1:0:16:132F:CA2:3:EB0000:0:0:0:	Brno TV
1:0:1:4E84:C8B:3:EB0000:0:0:0:	BTV
1:0:1:3160:459:1:C00000:0:0:0:	BunnyClub24
1:0:19:2334:442:1:C00000:0:0:0:	C8
1:0:1:7790:424:1:C00000:0:0:0:	CALLE 13
1:0:19:7824:428:1:C00000:0:0:0:	CALLE 13 HD
1:0:1:1132:404:1:C00000:0:0:0:	CANAL 24 HORAS
1:0:1:2763:402:1:C00000:0:0:0:	Canal Algerie
1:0:1:76CE:40E:1:C00000:0:0:0:	CANAL COCINA
1:0:1:7795:424:1:C00000:0:0:0:	CANAL DECASA
1:0:19:196F:44E:1:C00000:0:0:0:	CANAL J
1:0:1:778A:424:1:C00000:0:0:0:	CANAL ODISEA
1:0:1:76A4:41E:1:C00000:0:0:0:	CANAL ORBE21
1:0:1:75FF:408:1:C00000:0:0:0:	CANAL PANDA
1:0:1:7729:416:1:C00000:0:0:0:	CANAL SUR A.
1:0:19:2261:438:1:C00000:0:0:0:	CANAL+
1:0:19:22CD:434:1:C00000:0:0:0:	CANAL+
1:0:1F:219B:448:1:C00000:0:0:0:	CANAL+
1:0:19:2263:438:1:C00000:0:0:0:	CANAL+ CINEMA
1:0:19:2262:438:1:C00000:0:0:0:	CANAL+ DECALE
1:0:19:2265:438:1:C00000:0:0:0:	CANAL+ FAMILY
1:0:19:2266:438:1:C00000:0:0:0:	CANAL+ SERIES
1:0:19:2264:438:1:C00000:0:0:0:	CANAL+ SPORT
1:0:19:5226:C99:3:EB0000:0:0:0:	Canvas HD
1:0:1:4E45:C85:3:EB0000:0:0:0:	Cartoon Network
1:0:16:194:B:85:C00000:0:0:0:	Cartoon Network
1:0:16:17E9:C82:3:EB0000:0:0:0:	Cartoon Network
1:0:19:26B4:43E:1:C00000:0:0:0:	CARTOON NETWORK
1:0:16:36F5:C8C:3:EB0000:0:0:0:	Cartoon Network CZ
1:0:16:5282:C96:3:EB0000:0:0:0:	CAZ
1:0:1:772B:416:1:C00000:0:0:0:	CAZA Y PESCA
1:0:19:788D:414:1:C00000:0:0:0:	CAZAyPESCA HD
1:0:1:4EA5:CA4:3:EB0000:0:0:0:	CBS Reality
1:0:16:17E0:C82:3:EB0000:0:0:0:	CD Infokanaal
1:0:19:13C2:C95:3:EB0000:0:0:0:	Ceskoslovensko HD
1:0:1:1B02:3FE:1:C00000:0:0:0:	CGTN
1:0:1:1B00:3FE:1:C00000:0:0:0:	CGTN Documentary
1:0:1:1B01:3FE:1:C00000:0:0:0:	CGTN F
1:0:1:1464:C98:3:EB0000:0:0:0:	Chamber TV
1:0:1:1469:C98:3:EB0000:0:0:0:	Chamber TV HD
1:0:1:301:7:85:C00000:0:0:0:	Channel21
1:0:19:2778:409:1:C00000:0:0:0:	Channel21 HD
1:0:1:428C:446:1:C00000:0:0:0:	CHASSE ET PECHE
1:0:1:2F6C:454:1:C00000:0:0:0:	Cherie 25
1:0:1:2F6D:454:1:C00000:0:0:0:	Cherie 25
1:0:19:2269:438:1:C00000:0:0:0:	CINE+ CLASSIC
1:0:19:26B9:43E:1:C00000:0:0:0:	CINE+ CLUB
1:0:19:245B:440:1:C00000:0:0:0:	CINE+ EMOTION
1:0:19:2268:438:1:C00000:0:0:0:	CINE+ FAMIZ
1:0:19:2267:438:1:C00000:0:0:0:	CINE+ FRISSON
1:0:19:2456:440:1:C00000:0:0:0:	CINE+ PREMIER
1:0:16:30A:C94:3:EB0000:0:0:0:	Cinemax
1:0:19:4E6A:C86:3:EB0000:0:0:0:	Cinemax 2 HD
1:0:19:4E69:C86:3:EB0000:0:0:0:	Cinemax HD
